Token,PoS
Gutenberg,PROPN
University,PROPN
Adelaide,PROPN
Library,PROPN
Virginia,PROPN
Tech,PROPN
ETYMOLOGY,PROPN
Late,PROPN
Consumptive,PROPN
Usher,PROPN
Grammar,PROPN
School,PROPN
H,PROPN
Hackluyt,PROPN
WHALE,PROPN
Sw,PROPN
.,PROPN
Dan,PROPN
Dan,PROPN
Webster,PROPN
Dictionary,PROPN
WHALE,PROPN
Dut,PROPN
.,PROPN
Ger,PROPN
Wallen,PROPN
A.S.,PROPN
ian,PROPN
_,PROPN
_,PROPN
Richardson,PROPN
Dictionary,PROPN
חו,PROPN
ϰητος,PROPN
Saxon,PROPN
WAL,PROPN
WHALE,PROPN
WHALE,PROPN
BALLENA,PROPN
NUEE,PROPN
NUEE,PROPN
NUEE,PROPN
NUEE,PROPN
Erromangoan,PROPN
Sub,PROPN
Librarian,PROPN
Sub,PROPN
-,PROPN
Sub,PROPN
Vaticans,PROPN
Leviathan,PROPN
Sub,PROPN
Sub,PROPN
Thou,PROPN
Pale,PROPN
Sherry,PROPN
Sub,PROPN
Subs,PROPN
Hampton,PROPN
Court,PROPN
Tuileries,PROPN
Gabriel,PROPN
Michael,PROPN
Raphael,PROPN
God,PROPN
Leviathan,PROPN
Job,PROPN
_,PROPN
Lord,PROPN
Jonah,PROPN
Jonah,PROPN
Leviathan,PROPN
thou,PROPN
hast,PROPN
Psalms,PROPN
Lord,PROPN
Leviathan,PROPN
Leviathan,PROPN
Isaiah,PROPN
Holland,PROPN
Plutarch,PROPN
Indian,PROPN
Sea,PROPN
breedeth,PROPN
Whales,PROPN
Whirlpooles,PROPN
Balaene,PROPN
Holland,PROPN
Pliny,PROPN
Scarcely,PROPN
Whales,PROPN
Tooke,PROPN
Lucian,PROPN
_,PROPN
True,PROPN
History,PROPN
Other,PROPN
King,PROPN
Alfred,PROPN
A.D.,PROPN
MONTAIGNE,PROPN
Raimond,PROPN
Sebond,PROPN
Old,PROPN
Nick,PROPN
Leviathan,PROPN
Moses,PROPN
Job,PROPN
Rabelais,PROPN
Stowe,PROPN
Annals,PROPN
Leviathan,PROPN
Lord,PROPN
Bacon,PROPN
Version,PROPN
Psalms,PROPN
_,PROPN
King,PROPN
Henry,PROPN
Hamlet,PROPN
dart,PROPN
Dinting,PROPN
Fairie,PROPN
Queen,PROPN
Immense,PROPN
Sir,PROPN
William,PROPN
Davenant,PROPN
Gondibert,PROPN
Hosmannus,PROPN
saith,PROPN
Nescio,PROPN
Sir,PROPN
T.,PROPN
Browne,PROPN
Sperma,PROPN
Ceti,PROPN
Sperma,PROPN
Ceti,PROPN
Whale,PROPN
V.,PROPN
E.,PROPN
Spencer,PROPN
Talus,PROPN
Waller,PROPN
Battle,PROPN
Summer,PROPN
Islands,PROPN
Leviathan,PROPN
Commonwealth,PROPN
Latin,PROPN
Civitas,PROPN
Hobbes,PROPN
Leviathan,PROPN
Silly,PROPN
Mansoul,PROPN
Pilgrim,PROPN
Leviathan,PROPN
God,PROPN
Paradise,PROPN
Lost,PROPN
There,PROPN
Leviathan,PROPN
Hugest,PROPN
Fuller,PROPN
Profane,PROPN
Holy,PROPN
State,PROPN
Leviathan,PROPN
Dryden,PROPN
Annus,PROPN
Mirabilis,PROPN
Thomas,PROPN
Edge,PROPN
Voyages,PROPN
Spitzbergen,PROPN
Purchas,PROPN
Sir,PROPN
T.,PROPN
Herbert,PROPN
Voyages,PROPN
Asia,PROPN
Africa,PROPN
Harris,PROPN
Coll,PROPN
_,PROPN
Schouten,PROPN
Sixth,PROPN
Circumnavigation,PROPN
Elbe,PROPN
N.E.,PROPN
Jonas,PROPN
Whale,PROPN
Shetland,PROPN
Spitzbergen,PROPN
Voyage,PROPN
Greenland,PROPN
A.D.,PROPN
Harris,PROPN
Coll,PROPN
Fife,PROPN
Anno,PROPN
Pitferren,PROPN
Sibbald,PROPN
Fife,PROPN
Kinross,PROPN
_,PROPN
Sperma,PROPN
Richard,PROPN
Strafford,PROPN
Letter,PROPN
Bermudas,PROPN
Phil,PROPN
Trans,PROPN
.,PROPN
A.D.,PROPN
God,PROPN
N.,PROPN
E.,PROPN
Primer,PROPN
_,PROPN
Captain,PROPN
Cowley,PROPN
Voyage,PROPN
Globe,PROPN
A.D.,PROPN
Ulloa,PROPN
South,PROPN
America,PROPN
Oft,PROPN
Tho,PROPN
Lock,PROPN
_,PROPN
Goldsmith,PROPN
Nat,PROPN
Hist,PROPN
_,PROPN
Johnson,PROPN
Asiatics,PROPN
Cook,PROPN
Voyages,PROPN
Uno,PROPN
Von,PROPN
Troil,PROPN
Letters,PROPN
Banks,PROPN
Solander,PROPN
Voyage,PROPN
Iceland,PROPN
Spermacetti,PROPN
Whale,PROPN
Nantuckois,PROPN
Thomas,PROPN
Jefferson,PROPN
Whale,PROPN
Memorial,PROPN
sir,PROPN
Edmund,PROPN
Burke,PROPN
Parliament,PROPN
Nantucket,PROPN
Whale,PROPN
Fishery,PROPN
Spain,PROPN
Europe,PROPN
Edmund,PROPN
Burke,PROPN
Rodmond,PROPN
o’er,PROPN
Falconer,PROPN
Bright,PROPN
heaven,PROPN
_,PROPN
Queen,PROPN
Visit,PROPN
London,PROPN
John,PROPN
Hunter,PROPN
London,PROPN
Bridge,PROPN
Paley,PROPN
hind,PROPN
Spermacetti,PROPN
Whales,PROPN
May,PROPN
Colnett,PROPN
Voyage,PROPN
Purpose,PROPN
Spermaceti,PROPN
Whale,PROPN
Fishery,PROPN
Leviathan,PROPN
Whales,PROPN
Montgomery,PROPN
World,PROPN
Flood,PROPN
Io,PROPN
!,PROPN
Paean,PROPN
Io,PROPN
!,PROPN
Atlantic,PROPN
Polar,PROPN
Sea,PROPN
Charles,PROPN
Lamb,PROPN
Triumph,PROPN
Whale,PROPN
Obed,PROPN
Macy,PROPN
Nantucket,PROPN
Susan,PROPN
Gothic,PROPN
Arch,PROPN
jaw,PROPN
Twice,PROPN
Tales,PROPN
Pacific,PROPN
Sir,PROPN
Right,PROPN
Whale,PROPN
Tom,PROPN
Christian,PROPN
_,PROPN
Cooper,PROPN
Pilot,PROPN
Berlin,PROPN
Gazette,PROPN
Eckermann,PROPN
Conversations,PROPN
Goethe,PROPN
God,PROPN
Mr.,PROPN
Chace,PROPN
Shipwreck,PROPN
Whale,PROPN
Ship,PROPN
Essex,PROPN
Nantucket,PROPN
Sperm,PROPN
Whale,PROPN
Pacific,PROPN
Ocean,PROPN
_,PROPN
Owen,PROPN
Chace,PROPN
Nantucket,PROPN
New,PROPN
York,PROPN
Elizabeth,PROPN
Oakes,PROPN
Smith,PROPN
Sperm,PROPN
Whale,PROPN
Sperm,PROPN
Whale,PROPN
Thomas,PROPN
Beale,PROPN
Sperm,PROPN
Whale,PROPN
Cachalot,PROPN
Sperm,PROPN
Whale,PROPN
Whale,PROPN
Greenland,PROPN
Right,PROPN
Whale,PROPN
Frederick,PROPN
Debell,PROPN
Bennett,PROPN
Voyage,PROPN
Round,PROPN
Globe,PROPN
October,PROPN
mast,PROPN
lee,PROPN
bow,PROPN
Steady,PROPN
Steady,PROPN
Mast,PROPN
ay,PROPN
sir,PROPN
Sperm,PROPN
Whales,PROPN
Ay,PROPN
Ay,PROPN
sir,PROPN
bo,PROPN
Thunder,PROPN
J.,PROPN
Ross,PROPN
Browne,PROPN
Whaling,PROPN
Cruize,PROPN
Globe,PROPN
Nantucket,PROPN
Globe,PROPN
Mutiny,PROPN
_,PROPN
Lay,PROPN
Hussey,PROPN
Missionary,PROPN
Journal,PROPN
Tyerman,PROPN
Bennett,PROPN
Nantucket,PROPN
Mr.,PROPN
Webster,PROPN
Daniel,PROPN
Webster,PROPN
Speech,PROPN
U.,PROPN
S.,PROPN
Senate,PROPN
Erection,PROPN
Breakwater,PROPN
Nantucket,PROPN
Whale,PROPN
Captors,PROPN
Whaleman,PROPN
Adventures,PROPN
Whale,PROPN
Biography,PROPN
Homeward,PROPN
Cruise,PROPN
Commodore,PROPN
Preble,PROPN
Rev.,PROPN
Henry,PROPN
T.,PROPN
Cheever,PROPN
Samuel,PROPN
Samuel,PROPN
Comstock,PROPN
William,PROPN
Comstock,PROPN
Version,PROPN
Globe,PROPN
Dutch,PROPN
English,PROPN
Northern,PROPN
Ocean,PROPN
India,PROPN
McCulloch,PROPN
Commercial,PROPN
Dictionary,PROPN
_,PROPN
North,PROPN
West,PROPN
Passage,PROPN
_,PROPN
mast,PROPN
Currents,PROPN
Whaling,PROPN
U.S.,PROPN
Ex,PROPN
London,PROPN
Whale,PROPN
Voyager,PROPN
Arctic,PROPN
Ocean,PROPN
_,PROPN
Newspaper,PROPN
Account,PROPN
Taking,PROPN
Retaking,PROPN
Whale,PROPN
Ship,PROPN
Hobomack,PROPN
American,PROPN
Cruise,PROPN
Whale,PROPN
Boat,PROPN
Miriam,PROPN
Coffin,PROPN
Whale,PROPN
Fisherman,PROPN
Whale,PROPN
Ribs,PROPN
Trucks,PROPN
Terra,PROPN
Del,PROPN
Fuego,PROPN
Darwin,PROPN
Voyage,PROPN
Naturalist,PROPN
Sperm,PROPN
Whale,PROPN
destruction;—‘Stern,PROPN
Wharton,PROPN
Whale,PROPN
Killer,PROPN
Nantucket,PROPN
Song,PROPN
Whale,PROPN
King,PROPN
Whale,PROPN
Song,PROPN
CHAPTER,PROPN
Ishmael,PROPN
November,PROPN
Cato,PROPN
Manhattoes,PROPN
Sabbath,PROPN
Corlears,PROPN
Hook,PROPN
Coenties,PROPN
Slip,PROPN
Whitehall,PROPN
China,PROPN
lee,PROPN
yonder,PROPN
south,PROPN
Saco,PROPN
yonder,PROPN
Prairies,PROPN
June,PROPN
Tiger,PROPN
wanting?—Water,PROPN
Niagara,PROPN
Tennessee,PROPN
Rockaway,PROPN
Beach,PROPN
Persians,PROPN
Greeks,PROPN
Jove,PROPN
Narcissus,PROPN
Commodore,PROPN
Captain,PROPN
Cook,PROPN
"cook,—though",PROPN
Egyptians,PROPN
royal,PROPN
mast,PROPN
May,PROPN
Van,PROPN
Rensselaers,PROPN
Randolphs,PROPN
Seneca,PROPN
Stoics,PROPN
New,PROPN
Testament,PROPN
Gabriel,PROPN
heaven,PROPN
astern,PROPN
Commodore,PROPN
Fates,PROPN
Providence,PROPN
_,PROPN
Grand,PROPN
Contested,PROPN
Election,PROPN
Presidency,PROPN
United,PROPN
States,PROPN
ISHMAEL,PROPN
BLOODY,PROPN
BATTLE,PROPN
AFFGHANISTAN,PROPN
Fates,PROPN
Chief,PROPN
CHAPTER,PROPN
Carpet,PROPN
Bag,PROPN
Cape,PROPN
Horn,PROPN
Pacific,PROPN
Manhatto,PROPN
New,PROPN
Bedford,PROPN
Saturday,PROPN
December,PROPN
Nantucket,PROPN
Monday,PROPN
New,PROPN
Bedford,PROPN
Nantucket,PROPN
New,PROPN
Bedford,PROPN
Nantucket,PROPN
Nantucket,PROPN
Tyre,PROPN
Nantucket,PROPN
Red,PROPN
Men,PROPN
Leviathan,PROPN
Nantucket,PROPN
New,PROPN
Bedford,PROPN
ere,PROPN
"silver,—So",PROPN
Ishmael,PROPN
Ishmael,PROPN
Crossed,PROPN
Sword,PROPN
Fish,PROPN
Inn,PROPN
Ishmael,PROPN
!,PROPN
Gomorrah,PROPN
Crossed,PROPN
Sword,PROPN
Fish?”—this,PROPN
Trap,PROPN
Black,PROPN
Parliament,PROPN
Tophet,PROPN
Angel,PROPN
Doom,PROPN
Ishmael,PROPN
misty,PROPN
spray,PROPN
underneath—“The,PROPN
Spouter,PROPN
Coffin,PROPN
Coffin?—Spouter?—Rather,PROPN
Nantucket,PROPN
Peter,PROPN
Euroclydon,PROPN
Paul,PROPN
Euroclydon,PROPN
Euroclydon,PROPN
Death,PROPN
Lazarus,PROPN
Euroclydon,PROPN
Euroclydon,PROPN
!,PROPN
Dives,PROPN
Orion,PROPN
Lazarus,PROPN
Lazarus,PROPN
Sumatra,PROPN
Lazarus,PROPN
Moluccas,PROPN
Czar,PROPN
Spouter,PROPN
CHAPTER,PROPN
Spouter,PROPN
Inn,PROPN
Spouter,PROPN
Inn,PROPN
New,PROPN
England,PROPN
anon,PROPN
through.—It,PROPN
Black,PROPN
Sea,PROPN
gale.—It,PROPN
elements.—It,PROPN
heath.—It,PROPN
scene.—It,PROPN
Time,PROPN
Cape,PROPN
Horner,PROPN
Nathan,PROPN
Swain,PROPN
Javan,PROPN
Cape,PROPN
Blanco,PROPN
Jonah,PROPN
Cape,PROPN
Horn,PROPN
whalin,PROPN
Supper?—you,PROPN
Supper’ll,PROPN
Battery,PROPN
Iceland,PROPN
green,PROPN
box,PROPN
Landlord,PROPN
I.,PROPN
Grampus,PROPN
Hurrah,PROPN
Feegees,PROPN
Labrador,PROPN
Jonah,PROPN
Jonah,PROPN
Labrador,PROPN
Southerner,PROPN
Alleghanian,PROPN
Ridge,PROPN
Virginia,PROPN
Bulkington,PROPN
Bulkington,PROPN
Bulkington,PROPN
Landlord,PROPN
harpooneer.—I,PROPN
sha,PROPN
n’t,PROPN
here”—feeling,PROPN
Skrimshander,PROPN
heaven,PROPN
Landlord,PROPN
o’clock,PROPN
Saturday,PROPN
Sunday,PROPN
I.,PROPN
I’m,PROPN
ere,PROPN
I—“_broke,PROPN
_,PROPN
Sartain,PROPN
Landlord,PROPN
Mt.,PROPN
Hecla,PROPN
storm—“landlord,PROPN
Wall,PROPN
south,PROPN
New,PROPN
Zealand,PROPN
Sunday,PROPN
Sunday,PROPN
Saturday,PROPN
Sabbath,PROPN
reg’lar,PROPN
Sal,PROPN
ere,PROPN
Sal,PROPN
Sam,PROPN
Johnny,PROPN
Sam,PROPN
Sal,PROPN
Sunday,PROPN
heaven,PROPN
Nod,PROPN
Lord,PROPN
New,PROPN
Zealand,PROPN
South,PROPN
Seas,PROPN
New,PROPN
Zealand,PROPN
Thirty,PROPN
War,PROPN
South,PROPN
Seas,PROPN
Congo,PROPN
jambs,PROPN
Congo,PROPN
you?”—he,PROPN
Landlord,PROPN
God,PROPN
Peter,PROPN
Coffin,PROPN
I.,PROPN
Landlord,PROPN
e,PROPN
!,PROPN
tell,PROPN
ee,PROPN
ee,PROPN
heaven,PROPN
Queequeg,PROPN
ye,PROPN
know’d,PROPN
peddlin,PROPN
Queequeg,PROPN
Queequeg,PROPN
Christian,PROPN
Landlord,PROPN
Queequeg,PROPN
say—“I,PROPN
ye,PROPN
CHAPTER,PROPN
Counterpane,PROPN
Queequeg,PROPN
Cretan,PROPN
Queequeg,PROPN
"supperless,—my",PROPN
o’clock,PROPN
June,PROPN
Nay,PROPN
Queequeg,PROPN
pagan,PROPN
arm,PROPN
Queequeg!—in,PROPN
Queequeg,PROPN
Newfoundland,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Christian,PROPN
Queequeg,PROPN
lo,PROPN
Queequeg,PROPN
Rogers,PROPN
CHAPTER,PROPN
Queequeg,PROPN
Andes,PROPN
Grub,PROPN
ho,PROPN
Ledyard,PROPN
New,PROPN
England,PROPN
Mungo,PROPN
Park,PROPN
Scotch,PROPN
Siberia,PROPN
Ledyard,PROPN
Africa,PROPN
Mungo,PROPN
Green,PROPN
Mountains,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
CHAPTER,PROPN
Street,PROPN
Queequeg,PROPN
New,PROPN
Bedford,PROPN
Broadway,PROPN
Chestnut,PROPN
Mediterranean,PROPN
Regent,PROPN
Street,PROPN
Lascars,PROPN
Malays,PROPN
Bombay,PROPN
Apollo,PROPN
Green,PROPN
Yankees,PROPN
New,PROPN
Bedford,PROPN
Water,PROPN
Street,PROPN
Wapping,PROPN
New,PROPN
Bedford,PROPN
Feegeeans,PROPN
Tongatobooarrs,PROPN
Erromanggoans,PROPN
Pannangians,PROPN
Brighggians,PROPN
Vermonters,PROPN
New,PROPN
Hampshire,PROPN
Green,PROPN
Mountains,PROPN
chap,PROPN
buckskin,PROPN
Hay,PROPN
Seed,PROPN
New,PROPN
Bedford,PROPN
us,PROPN
Labrador,PROPN
New,PROPN
England,PROPN
Canaan,PROPN
America,PROPN
New,PROPN
Bedford,PROPN
scoria,PROPN
Atlantic,PROPN
Pacific,PROPN
Herr,PROPN
Alexander,PROPN
New,PROPN
Bedford,PROPN
New,PROPN
Bedford,PROPN
August,PROPN
New,PROPN
Bedford,PROPN
New,PROPN
Bedford,PROPN
Salem,PROPN
Moluccas,PROPN
CHAPTER,PROPN
Chapel,PROPN
New,PROPN
Bedford,PROPN
Whaleman,PROPN
Indian,PROPN
Ocean,PROPN
Pacific,PROPN
Sunday,PROPN
JOHN,PROPN
TALBOT,PROPN
Isle,PROPN
Desolation,PROPN
Patagonia,PROPN
November,PROPN
1_st,PROPN
TABLET,PROPN
SISTER,PROPN
ROBERT,PROPN
LONG,PROPN
WILLIS,PROPN
ELLERY,PROPN
NATHAN,PROPN
COLEMAN,PROPN
WALTER,PROPN
CANNY,PROPN
SETH,PROPN
MACY,PROPN
SAMUEL,PROPN
GLEIG,PROPN
SHIP,PROPN
ELIZA,PROPN
Whale,PROPN
Off,PROPN
Ground,PROPN
PACIFIC,PROPN
December,PROPN
CAPTAIN,PROPN
EZEKIEL,PROPN
HARDY,PROPN
Sperm,PROPN
Whale,PROPN
Japan,PROPN
August,PROPN
TABLET,PROPN
WIDOW,PROPN
Queequeg,PROPN
Elephanta,PROPN
Goodwin,PROPN
Sands,PROPN
Indies,PROPN
Life,PROPN
Insurance,PROPN
Companies,PROPN
Adam,PROPN
Faith,PROPN
Nantucket,PROPN
Ishmael,PROPN
Eternity,PROPN
Nantucket,PROPN
Jove,PROPN
CHAPTER,PROPN
Pulpit,PROPN
ere,PROPN
Father,PROPN
Mapple,PROPN
Father,PROPN
Mapple,PROPN
February,PROPN
Father,PROPN
Mapple,PROPN
Father,PROPN
Mapple,PROPN
Father,PROPN
Mapple,PROPN
Father,PROPN
Mapple,PROPN
Quebec,PROPN
Father,PROPN
Mapple,PROPN
God,PROPN
Ehrenbreitstein,PROPN
lee,PROPN
Nelson,PROPN
lo,PROPN
bluff,PROPN
Holy,PROPN
Bible,PROPN
God,PROPN
God,PROPN
CHAPTER,PROPN
Sermon,PROPN
Father,PROPN
Mapple,PROPN
unassuming,PROPN
authority,PROPN
larboard,PROPN
God,PROPN
God,PROPN
Awful,PROPN
Deliverer,PROPN
God,PROPN
God,PROPN
Bible,PROPN
Jonah—‘And,PROPN
God,PROPN
Jonah,PROPN
Jonah,PROPN
kelpy,PROPN
Jonah,PROPN
God,PROPN
Jonah,PROPN
Amittai,PROPN
God,PROPN
God,PROPN
God,PROPN
God,PROPN
Jonah,PROPN
God,PROPN
God,PROPN
Captains,PROPN
Joppa,PROPN
Tarshish,PROPN
Cadiz,PROPN
Cadiz,PROPN
Cadiz,PROPN
Spain,PROPN
Joppa,PROPN
Jonah,PROPN
Atlantic,PROPN
Joppa,PROPN
Jaffa,PROPN
Mediterranean,PROPN
Syrian,PROPN
Tarshish,PROPN
Cadiz,PROPN
Straits,PROPN
Gibraltar,PROPN
Jonah,PROPN
God,PROPN
God,PROPN
Jonah,PROPN
ere,PROPN
Captain,PROPN
Jonah,PROPN
Joe,PROPN
Harry,PROPN
lad,PROPN
Gomorrah,PROPN
Sodom,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Captain,PROPN
Jonah,PROPN
Tarshish,PROPN
ye,PROPN
Captain,PROPN
Jonah,PROPN
sir?’—‘Soon,PROPN
Jonah,PROPN
Captain,PROPN
"ye,’—he",PROPN
ere,PROPN
Jonah,PROPN
Captain,PROPN
Virtue,PROPN
Jonah,PROPN
Captain,PROPN
Jonah,PROPN
ere,PROPN
Captain,PROPN
Jonah,PROPN
Jonah,PROPN
Captain,PROPN
Jonah,PROPN
Sir,PROPN
Jonah,PROPN
Captain,PROPN
Jonah,PROPN
Captain,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
God,PROPN
Jonah,PROPN
Tarshish,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
white,PROPN
moon,PROPN
Jonah,PROPN
God,PROPN
fugitive,PROPN
Heaven,PROPN
